object,state,object_pivot_y,rat_foot_y,rat_order,object_order,order_relation,collider_distance,collider_overlap,visual_overlap,rat_collider_min_y,rat_collider_max_y,object_collider_min_y,object_collider_max_y
Barrel_A,front_separated,-0.750,-1.030,103,86,rat_front,0.0100,False,True,-1.030,-0.770,-0.750,-0.530
Barrel_A,same_pivot,-0.750,-0.750,75,86,rat_behind,-0.2300,True,True,-0.750,-0.490,-0.750,-0.530
Barrel_A,behind_separated,-0.750,-0.510,51,86,rat_behind,0.0100,False,True,-0.510,-0.250,-0.750,-0.530
Crate_A,front_separated,0.250,-0.030,3,-13,rat_front,0.0100,False,True,-0.030,0.230,0.250,0.490
Crate_A,same_pivot,0.250,0.250,-25,-13,rat_behind,-0.2500,True,True,0.250,0.510,0.250,0.490
Crate_A,behind_separated,0.250,0.510,-51,-13,rat_behind,0.0100,False,True,0.510,0.770,0.250,0.490
WallStraight_Occlusion,front_separated,0.750,0.460,-46,-72,rat_front,0.0100,False,True,0.460,0.720,0.740,0.920
WallStraight_Occlusion,same_pivot,0.750,0.750,-75,-72,rat_behind,-0.1800,True,True,0.750,1.010,0.740,0.920
WallStraight_Occlusion,behind_separated,0.750,0.940,-94,-72,rat_behind,0.0100,False,True,0.940,1.200,0.740,0.920
