index,direction,screen_dx,screen_dy,source_yaw_degrees,file,sha256
0,S,0.0,-1.0,-53.130102,rat-00-s.png,e009143c8fb5858b6e5edd75afe97234801d93962368081fedbb751e162877f6
1,SW,-1.0,-1.0,-25.904474,rat-01-sw.png,eb4bea531ef9cf954dc0a3220c8b19f5d01eac88e3c9a35517ebe5b77081c813
2,W,-1.0,0.0,36.869898,rat-02-w.png,7da8c8febda54546704e1379b45a22c25a73887030c416fa11db979d7990b802
3,NW,-1.0,1.0,99.64427,rat-03-nw.png,3f209b5fd24b8012aa33719e4edf9a67e83b652bd7e5abd2b8b6af84772dc309
4,N,0.0,1.0,126.869898,rat-04-n.png,afc1afd7fd6733e43654734a1c0d4facfc95037635ee35d5423d04d27f758e7b
5,NE,1.0,1.0,154.095526,rat-05-ne.png,4baa1571b931bcbdc3dba42f80f7f0c949e5a1e55f074a75617b2e625ca4d16b
6,E,1.0,0.0,-143.130102,rat-06-e.png,6736974a6574ec2d902134d69624f666f68ad28a33586ac2c7e2429a3db08439
7,SE,1.0,-1.0,-80.35573,rat-07-se.png,f10fb2cc2711bf096fe34fe7e086a814516fdfcc48796d0d09bbc6ed73253f14
