object,state,rat_x,rat_y,rat_order,object_order,rat_collider,obj_collider,rat_visual,obj_visual
Barrel_A,front_contact,-1.000,-1.030,103,86,"Center: (-0.92, -0.90, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (-1.00, -0.64, 0.50), Extents: (0.24, 0.11, 0.00)","Center: (-1.00, -0.59, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (-1.00, -0.31, 0.50), Extents: (0.38, 0.44, 0.10)"
Barrel_A,side_switch,-0.510,-0.870,87,86,"Center: (-0.43, -0.74, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (-1.00, -0.64, 0.50), Extents: (0.24, 0.11, 0.00)","Center: (-0.51, -0.43, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (-1.00, -0.31, 0.50), Extents: (0.38, 0.44, 0.10)"
Barrel_A,behind_contact,-1.000,-0.510,51,86,"Center: (-0.92, -0.38, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (-1.00, -0.64, 0.50), Extents: (0.24, 0.11, 0.00)","Center: (-1.00, -0.07, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (-1.00, -0.31, 0.50), Extents: (0.38, 0.44, 0.10)"
Crate_A,front_contact,2.000,-0.030,3,-13,"Center: (2.08, 0.10, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (2.00, 0.37, 0.50), Extents: (0.28, 0.12, 0.00)","Center: (2.00, 0.41, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (2.00, 0.69, 0.50), Extents: (0.44, 0.44, 0.10)"
Crate_A,side_switch,2.525,0.120,-12,-13,"Center: (2.61, 0.25, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (2.00, 0.37, 0.50), Extents: (0.28, 0.12, 0.00)","Center: (2.53, 0.56, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (2.00, 0.69, 0.50), Extents: (0.44, 0.44, 0.10)"
Crate_A,behind_contact,2.000,0.510,-51,-13,"Center: (2.08, 0.64, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (2.00, 0.37, 0.50), Extents: (0.28, 0.12, 0.00)","Center: (2.00, 0.95, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (2.00, 0.69, 0.50), Extents: (0.44, 0.44, 0.10)"
WallStraight_Occlusion,front_contact,0.000,0.460,-46,-72,"Center: (0.08, 0.59, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (0.00, 0.83, 0.50), Extents: (0.53, 0.09, 0.00)","Center: (0.00, 0.90, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (0.00, 1.38, 0.50), Extents: (0.63, 0.63, 0.10)"
WallStraight_Occlusion,side_switch,0.775,0.710,-71,-72,"Center: (0.85, 0.84, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (0.00, 0.83, 0.50), Extents: (0.53, 0.09, 0.00)","Center: (0.77, 1.15, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (0.00, 1.38, 0.50), Extents: (0.63, 0.63, 0.10)"
WallStraight_Occlusion,behind_contact,0.000,0.940,-94,-72,"Center: (0.08, 1.07, 0.50), Extents: (0.31, 0.13, 0.00)","Center: (0.00, 0.83, 0.50), Extents: (0.53, 0.09, 0.00)","Center: (0.00, 1.38, 0.50), Extents: (1.00, 0.75, 0.10)","Center: (0.00, 1.38, 0.50), Extents: (0.63, 0.63, 0.10)"
